# Population AI	AI3,AI4,AI5,AI6,AI7,AI8
# Population FMC	FMC2,FMC3,FMC4,FMC5,FMC6,FMC7,FMC8
# Population HI	HI1,HI2,HI3,HI4,HI5,HI6,HI7,HI8
# Population PI	PI1,PI2,PI3,PI4,PI5,PI6,PI7,PI8
# Population SC	SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
# Population SH	SH1,SH2,SH3,SH4,SH5,SH6
# Group SOUTH	AI,HI,PI
# Group NORTH	FMC,SC,SH
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
368	scaffold36	66123	0.16325	0.00399	-1.00000	0.00890	-0.02841	-1.00000	0.03442	0.12829	-1.00000
378	scaffold38	13929	0.15819	0.15819	-1.00000	-0.01258	-0.01258	-1.00000	0.07836	0.07836	-1.00000
397	scaffold43	1261	0.00660	0.13222	-1.00000	0.00074	0.01373	-1.00000	0.00112	0.08599	-1.00000
398	scaffold43	1264	-0.02857	0.13222	-1.00000	-0.00260	0.01373	-1.00000	-nan	0.08599	-1.00000
393	scaffold42	1883	0.05999	0.13225	-1.00000	0.00227	0.01375	-1.00000	0.00289	0.08602	-1.00000
410	scaffold43	20945	0.00007	0.13317	-1.00000	-0.00014	0.01452	-1.00000	-0.00000	0.08693	-1.00000
418	scaffold43	30138	0.01244	0.13363	-1.00000	0.00483	0.01491	-1.00000	0.00098	0.08741	-1.00000
430	scaffold43	48001	0.27833	0.13458	-1.00000	0.05010	0.01571	-1.00000	0.11938	0.08840	-1.00000
434	scaffold43	49880	0.00000	0.13469	-1.00000	0.00000	0.01580	-1.00000	0.60153	0.08851	-1.00000
439	scaffold43	59190	0.50795	0.13522	-1.00000	-0.01616	0.01625	-1.00000	0.23646	0.08908	-1.00000
440	scaffold43	59562	0.00048	0.13524	-1.00000	-0.00153	0.01627	-1.00000	-0.00146	0.08910	-1.00000
442	scaffold43	64696	0.68787	0.13555	-1.00000	-0.00263	0.01652	-1.00000	0.37026	0.08943	-1.00000
447	scaffold43	71768	0.02954	0.13599	-1.00000	0.00105	0.01688	-1.00000	0.00210	0.08989	-1.00000
449	scaffold43	72829	0.01180	0.13605	-1.00000	0.00024	0.01693	-1.00000	0.00783	0.08996	-1.00000
458	scaffold43	73451	0.61469	0.13609	-1.00000	-0.00134	0.01696	-1.00000	0.29572	0.09000	-1.00000
460	scaffold43	74634	0.00885	0.13617	-1.00000	0.00492	0.01702	-1.00000	-nan	0.09009	-1.00000
463	scaffold43	76662	0.14225	0.13630	-1.00000	0.02329	0.01713	-1.00000	0.07932	0.09022	-1.00000
467	scaffold43	78651	0.00234	0.13643	-1.00000	0.00004	0.01723	-1.00000	0.00000	0.09036	-1.00000
477	scaffold43	89261	-0.00835	0.13714	-1.00000	-0.00026	0.01780	-1.00000	0.00000	0.09113	-1.00000
478	scaffold43	89264	0.46251	0.13714	-1.00000	0.16692	0.01780	-1.00000	0.17586	0.09113	-1.00000
480	scaffold43	89648	0.15626	0.13717	-1.00000	-0.01563	0.01782	-1.00000	0.07162	0.09116	-1.00000
481	scaffold43	92276	-0.00835	0.13735	-1.00000	-0.00026	0.01797	-1.00000	0.00000	0.09136	-1.00000
485	scaffold43	101804	0.05839	0.13804	-1.00000	0.00263	0.01850	-1.00000	0.00289	0.09210	-1.00000
489	scaffold43	105339	0.01513	0.13831	-1.00000	0.00049	0.01870	-1.00000	-0.00000	0.09239	-1.00000
512	scaffold43	135040	0.19192	0.14077	-1.00000	-0.01250	0.02050	-1.00000	-nan	0.09504	-1.00000
518	scaffold43	141570	-0.00475	0.14138	-1.00000	-0.00036	0.02092	-1.00000	-0.00031	0.09568	-1.00000
521	scaffold43	151499	0.00234	0.14234	-1.00000	0.00004	0.02158	-1.00000	0.00000	0.09671	-1.00000
522	scaffold43	154373	0.05179	0.14263	-1.00000	-0.00253	0.02177	-1.00000	-0.00057	0.09701	-1.00000
536	scaffold43	165929	0.00234	0.14384	-1.00000	0.00004	0.02256	-1.00000	0.00000	0.09830	-1.00000
538	scaffold43	167304	0.02046	0.14399	-1.00000	0.00006	0.02266	-1.00000	-nan	0.09845	-1.00000
541	scaffold43	169983	-0.00473	0.14428	-1.00000	-0.00169	0.02285	-1.00000	-0.00031	0.09876	-1.00000
549	scaffold43	172300	0.07705	0.14454	-1.00000	-0.00590	0.02301	-1.00000	0.00303	0.09904	-1.00000
556	scaffold43	178847	0.00926	0.14529	-1.00000	0.01531	0.02348	-1.00000	0.12825	0.09982	-1.00000
560	scaffold43	178968	-0.08281	0.14530	-1.00000	-0.07461	0.02348	-1.00000	0.72180	0.09984	-1.00000
571	scaffold43	201289	0.65209	0.14807	-1.00000	0.25907	0.02514	-1.00000	-nan	0.10272	-1.00000
573	scaffold43	202796	0.02630	0.14827	-1.00000	-0.00541	0.02525	-1.00000	0.00128	0.10293	-1.00000
574	scaffold43	202799	0.12379	0.14827	-1.00000	0.01154	0.02525	-1.00000	0.02352	0.10293	-1.00000
585	scaffold43	220773	0.14055	0.15076	-1.00000	0.00827	0.02665	-1.00000	0.02222	0.10550	-1.00000
589	scaffold43	231623	0.55168	0.15238	-1.00000	0.19232	0.02752	-1.00000	0.22958	0.10715	-1.00000
601	scaffold43	245123	-0.00835	0.15451	-1.00000	-0.00026	0.02863	-1.00000	0.00000	0.10931	-1.00000
602	scaffold43	249867	0.44347	0.15529	-1.00000	0.29224	0.02902	-1.00000	0.63342	0.11010	-1.00000
615	scaffold43	274012	0.66622	0.15952	-1.00000	0.00750	0.03108	-1.00000	0.52126	0.11435	-1.00000
618	scaffold47	4182	0.00000	0.23785	-1.00000	0.00000	0.04314	-1.00000	-nan	0.10453	-1.00000
625	scaffold47	7779	0.11509	0.23786	-1.00000	0.02673	0.04314	-1.00000	0.03672	0.10453	-1.00000
626	scaffold47	8290	0.51470	0.23786	-1.00000	0.08282	0.04314	-1.00000	0.17398	0.10453	-1.00000
632	scaffold47	11159	-0.09907	0.23786	-1.00000	0.00000	0.04315	-1.00000	-nan	0.10453	-1.00000
638	scaffold48	12075	0.00782	0.02657	-1.00000	0.00039	0.00017	-1.00000	0.00000	0.00129	-1.00000
643	scaffold48	15932	0.04095	0.02660	-1.00000	-0.00166	0.00017	-1.00000	0.00120	0.00129	-1.00000
655	scaffold48	30153	0.01907	0.02670	-1.00000	0.00000	0.00019	-1.00000	-nan	0.00131	-1.00000
659	scaffold48	53228	0.01513	0.02688	-1.00000	0.00049	0.00020	-1.00000	-0.00000	0.00133	-1.00000
662	scaffold48	53831	0.00234	0.02688	-1.00000	-0.00139	0.00020	-1.00000	-0.00073	0.00134	-1.00000
674	scaffold48	68008	0.07630	0.02699	-1.00000	0.00304	0.00022	-1.00000	0.00607	0.00135	-1.00000
677	scaffold48	70877	0.00000	0.02702	-1.00000	0.00000	0.00022	-1.00000	-nan	0.00135	-1.00000
696	scaffold51	3478	0.09671	0.13833	-1.00000	0.00182	0.01140	-1.00000	0.00811	0.01380	-1.00000
704	scaffold51	8732	0.28495	0.13833	-1.00000	0.03101	0.01140	-1.00000	0.03297	0.01380	-1.00000
709	scaffold51	10903	0.03077	0.13833	-1.00000	0.00112	0.01140	-1.00000	-0.00000	0.01380	-1.00000
712	scaffold52	2351	-0.02362	-0.02362	-1.00000	-0.00178	-0.00178	-1.00000	-0.00286	-0.00286	-1.00000
727	scaffold55	3573	-0.00725	0.08147	-1.00000	-0.00029	0.01122	-1.00000	0.00000	0.11036	-1.00000
737	scaffold55	22259	0.01406	0.08211	-1.00000	0.00053	0.01131	-1.00000	0.00000	0.11157	-1.00000
741	scaffold55	29464	-0.00681	0.08235	-1.00000	0.01070	0.01134	-1.00000	-nan	0.11204	-1.00000
748	scaffold55	37160	0.20689	0.08260	-1.00000	0.03222	0.01138	-1.00000	0.03978	0.11254	-1.00000
750	scaffold55	37865	0.23985	0.08263	-1.00000	0.01656	0.01138	-1.00000	0.46512	0.11259	-1.00000
755	scaffold55	50202	0.00970	0.08303	-1.00000	0.00760	0.01144	-1.00000	-nan	0.11339	-1.00000
759	scaffold56	1269	0.31143	0.30035	-1.00000	-0.02980	-0.01798	-1.00000	0.18315	0.15984	-1.00000
760	scaffold56	1712	0.28927	0.30035	-1.00000	-0.00616	-0.01798	-1.00000	0.13652	0.15984	-1.00000
783	scaffold60	753	0.06862	0.33131	-1.00000	0.00144	0.00030	-1.00000	0.01231	0.19354	-1.00000
784	scaffold60	882	-0.00122	0.33131	-1.00000	-0.00022	0.00030	-1.00000	-0.00031	0.19355	-1.00000
785	scaffold60	5378	0.94973	0.33150	-1.00000	-0.00031	0.00030	-1.00000	0.58287	0.19366	-1.00000
792	scaffold62	7430	0.00000	0.05573	-1.00000	0.00000	0.00602	-1.00000	-nan	0.00707	-1.00000
793	scaffold62	8272	0.07843	0.05573	-1.00000	0.00847	0.00602	-1.00000	0.00707	0.00707	-1.00000
836	scaffold68	2334	-0.00939	0.15108	-1.00000	-0.00070	0.01229	-1.00000	-0.00000	0.09770	-1.00000
844	scaffold68	11801	0.42591	0.15091	-1.00000	0.05872	0.01226	-1.00000	0.24685	0.09781	-1.00000
858	scaffold68	18068	0.51614	0.15080	-1.00000	-0.01423	0.01223	-1.00000	-nan	0.09788	-1.00000
866	scaffold68	22891	0.12558	0.15071	-1.00000	0.01351	0.01222	-1.00000	0.01167	0.09793	-1.00000
867	scaffold68	22894	0.01513	0.15071	-1.00000	0.00049	0.01222	-1.00000	-0.00000	0.09793	-1.00000
874	scaffold68	34677	0.00000	0.15050	-1.00000	0.00000	0.01217	-1.00000	0.57037	0.09806	-1.00000
875	scaffold68	34680	0.10301	0.15050	-1.00000	0.00114	0.01217	-1.00000	0.00824	0.09806	-1.00000
882	scaffold69	7071	-0.07184	-0.07184	-1.00000	-0.07885	-0.07885	-1.00000	0.24353	0.24353	-1.00000
899	scaffold71	12429	0.11111	0.70805	-1.00000	0.00000	0.04061	-1.00000	-nan	0.61934	-1.00000
902	scaffold71	13489	0.84807	0.70805	-1.00000	0.05014	0.04061	-1.00000	0.61934	0.61934	-1.00000
904	scaffold74	385	-0.07502	0.03528	-1.00000	-0.08175	-0.00813	-1.00000	-0.08279	-0.01243	-1.00000
909	scaffold74	3292	0.02449	0.03529	-1.00000	0.05203	-0.00812	-1.00000	-nan	-0.01243	-1.00000
910	scaffold74	3295	0.08036	0.03529	-1.00000	0.00613	-0.00812	-1.00000	0.01782	-0.01243	-1.00000
911	scaffold74	3944	0.03192	0.03529	-1.00000	0.00107	-0.00812	-1.00000	0.01090	-0.01242	-1.00000
912	scaffold74	3947	0.10256	0.03529	-1.00000	0.00575	-0.00812	-1.00000	0.00532	-0.01242	-1.00000
913	scaffold74	4347	0.04479	0.03529	-1.00000	0.00767	-0.00812	-1.00000	-nan	-0.01242	-1.00000
921	scaffold75	2192	0.35330	0.35330	-1.00000	0.05665	0.05665	-1.00000	0.07323	0.07323	-1.00000
942	scaffold76	31282	0.00880	0.19179	-1.00000	0.00095	0.02244	-1.00000	-nan	0.14309	-1.00000
944	scaffold76	34388	0.00713	0.19189	-1.00000	-0.00918	0.02245	-1.00000	0.30699	0.14307	-1.00000
949	scaffold76	38656	0.34131	0.19202	-1.00000	0.08126	0.02246	-1.00000	0.11547	0.14305	-1.00000
951	scaffold76	41165	0.04648	0.19210	-1.00000	-0.00584	0.02246	-1.00000	0.01761	0.14303	-1.00000
954	scaffold76	45625	0.45757	0.19224	-1.00000	0.02970	0.02247	-1.00000	0.18710	0.14301	-1.00000
971	scaffold77	5251	0.06061	0.11319	-1.00000	0.01112	-0.00770	-1.00000	0.01216	0.09574	-1.00000
972	scaffold77	5254	0.09526	0.11319	-1.00000	0.00321	-0.00770	-1.00000	-nan	0.09574	-1.00000
973	scaffold77	5500	0.13302	0.11318	-1.00000	-0.00082	-0.00770	-1.00000	0.01586	0.09575	-1.00000
975	scaffold77	6758	0.35282	0.11313	-1.00000	0.00365	-0.00772	-1.00000	0.09052	0.09582	-1.00000
986	scaffold77	18864	0.13942	0.11263	-1.00000	0.01638	-0.00785	-1.00000	-nan	0.09647	-1.00000
994	scaffold77	32521	-0.09437	0.11207	-1.00000	-0.10702	-0.00799	-1.00000	0.33060	0.09721	-1.00000
995	scaffold77	32902	0.00118	0.11205	-1.00000	-0.00299	-0.00800	-1.00000	-nan	0.09723	-1.00000
1000	scaffold78	4177	0.04422	0.24056	-1.00000	0.00372	-0.00708	-1.00000	-nan	0.14393	-1.00000
1010	scaffold78	20823	0.61503	0.24053	-1.00000	-0.02244	-0.00709	-1.00000	0.32175	0.14369	-1.00000
1011	scaffold78	26038	0.10294	0.24052	-1.00000	-0.00531	-0.00709	-1.00000	0.00736	0.14361	-1.00000
1012	scaffold78	26426	0.51016	0.24052	-1.00000	-0.01818	-0.00709	-1.00000	0.24898	0.14361	-1.00000
1016	scaffold78	29507	0.04790	0.24051	-1.00000	0.00141	-0.00709	-1.00000	0.00936	0.14356	-1.00000
1024	scaffold78	36241	0.06152	0.24050	-1.00000	0.00189	-0.00709	-1.00000	-nan	0.14347	-1.00000
1035	scaffold79	13995	0.10515	0.07667	-1.00000	0.00473	-0.00246	-1.00000	0.00787	0.00624	-1.00000
1036	scaffold79	14599	0.00007	0.07667	-1.00000	-0.00014	-0.00246	-1.00000	0.00000	0.00624	-1.00000
1041	scaffold79	19813	0.12954	0.07669	-1.00000	-0.01192	-0.00247	-1.00000	0.01122	0.00624	-1.00000
1042	scaffold80	3280	0.00234	0.02771	-1.00000	0.00004	-0.00089	-1.00000	0.00000	0.00376	-1.00000
1043	scaffold80	3283	-0.02044	0.02771	-1.00000	-0.00204	-0.00089	-1.00000	-0.00064	0.00376	-1.00000
1045	scaffold80	4887	0.10368	0.02771	-1.00000	-0.00067	-0.00089	-1.00000	0.01220	0.00376	-1.00000
1054	scaffold82	865	0.62461	0.21433	-1.00000	0.25683	0.07258	-1.00000	-nan	0.07168	-1.00000
1061	scaffold83	5175	0.29844	0.21398	-1.00000	0.11701	0.07242	-1.00000	0.13180	0.07158	-1.00000
1071	scaffold83	21266	0.01090	0.21268	-1.00000	-0.00011	0.07181	-1.00000	-nan	0.07119	-1.00000
1073	scaffold83	22667	0.14025	0.21256	-1.00000	0.00803	0.07176	-1.00000	0.00787	0.07116	-1.00000
1074	scaffold83	22670	0.02850	0.21256	-1.00000	-0.00268	0.07176	-1.00000	-nan	0.07116	-1.00000
1076	scaffold84	2248	0.02768	0.12763	-1.00000	0.00582	0.01225	-1.00000	0.00507	0.11125	-1.00000
1079	scaffold84	10959	0.22438	0.12726	-1.00000	0.01581	0.01215	-1.00000	0.10010	0.11124	-1.00000
1090	scaffold84	18634	0.13119	0.12693	-1.00000	0.03069	0.01207	-1.00000	0.02971	0.11122	-1.00000
1095	scaffold84	21881	0.00725	0.12679	-1.00000	0.00085	0.01204	-1.00000	-nan	0.11122	-1.00000
1107	scaffold84	37023	0.70865	0.12613	-1.00000	0.09374	0.01187	-1.00000	0.55570	0.11117	-1.00000
1108	scaffold84	37026	0.27722	0.12613	-1.00000	0.05893	0.01187	-1.00000	0.09225	0.11117	-1.00000
1117	scaffold84	39268	0.32184	0.12603	-1.00000	0.08088	0.01185	-1.00000	0.08388	0.11116	-1.00000
1129	scaffold84	44612	0.12520	0.12579	-1.00000	0.00882	0.01179	-1.00000	0.00881	0.11114	-1.00000
1133	scaffold84	46081	0.08665	0.12572	-1.00000	0.00000	0.01178	-1.00000	-nan	0.11114	-1.00000
1139	scaffold84	47492	0.07107	0.12566	-1.00000	-0.00071	0.01176	-1.00000	0.00443	0.11113	-1.00000
1146	scaffold84	47970	-0.07772	0.12564	-1.00000	-0.06316	0.01176	-1.00000	0.34611	0.11113	-1.00000
1153	scaffold84	54856	-0.07695	0.12533	-1.00000	-0.08374	0.01168	-1.00000	0.38396	0.11110	-1.00000
1156	scaffold84	55164	-0.00835	0.12531	-1.00000	-0.00026	0.01168	-1.00000	0.00000	0.11110	-1.00000
1159	scaffold84	56524	-0.00602	0.12525	-1.00000	0.00055	0.01166	-1.00000	0.00242	0.11109	-1.00000
1161	scaffold84	64038	0.05254	0.12491	-1.00000	-0.00419	0.01158	-1.00000	0.01104	0.11106	-1.00000
1165	scaffold84	78130	-0.00530	0.12426	-1.00000	-0.00137	0.01143	-1.00000	0.01246	0.11098	-1.00000
1170	scaffold85	1880	0.01288	0.04796	-1.00000	0.00033	0.00493	-1.00000	0.00783	0.01239	-1.00000
1175	scaffold85	4963	0.08304	0.04796	-1.00000	0.00952	0.00493	-1.00000	0.01695	0.01239	-1.00000
1199	scaffold86	18877	0.00260	0.17504	-1.00000	0.00036	0.01329	-1.00000	0.00240	0.07945	-1.00000
1202	scaffold86	24322	0.56618	0.17506	-1.00000	0.04443	0.01329	-1.00000	0.29031	0.07944	-1.00000
1203	scaffold86	25509	-0.00835	0.17507	-1.00000	-0.00026	0.01329	-1.00000	0.00000	0.07944	-1.00000
1209	scaffold86	32849	0.13790	0.17510	-1.00000	0.00839	0.01330	-1.00000	0.02222	0.07943	-1.00000
1210	scaffold87	3792	0.00884	0.07431	-1.00000	0.00094	0.00317	-1.00000	-nan	0.02725	-1.00000
1216	scaffold87	13037	-0.01071	0.07459	-1.00000	-0.00031	0.00318	-1.00000	0.00000	0.02723	-1.00000
1217	scaffold87	14500	0.00000	0.07464	-1.00000	0.00000	0.00318	-1.00000	0.37339	0.02722	-1.00000
1219	scaffold87	15174	0.00706	0.07466	-1.00000	0.00856	0.00318	-1.00000	0.00643	0.02722	-1.00000
1224	scaffold87	24247	0.10323	0.07493	-1.00000	0.00586	0.00318	-1.00000	0.00532	0.02720	-1.00000
1228	scaffold87	26889	0.31212	0.07502	-1.00000	0.00050	0.00318	-1.00000	-nan	0.02719	-1.00000
1233	scaffold89	6313	0.19646	0.12336	-1.00000	0.01525	0.00892	-1.00000	0.02828	0.01562	-1.00000
1243	scaffold89	21051	0.04990	0.12300	-1.00000	0.00256	0.00889	-1.00000	0.00289	0.01556	-1.00000
1256	scaffold91	509	0.12830	0.10170	-1.00000	0.01126	0.00724	-1.00000	0.08427	0.02758	-1.00000
1263	scaffold91	10500	-0.04477	0.10180	-1.00000	-0.01944	0.00726	-1.00000	-0.01439	0.02754	-1.00000
1267	scaffold91	15658	0.17308	0.10186	-1.00000	0.01228	0.00727	-1.00000	0.02180	0.02752	-1.00000
1269	scaffold91	15821	0.06864	0.10186	-1.00000	0.00319	0.00727	-1.00000	0.00383	0.02752	-1.00000
1278	scaffold91	24335	0.18475	0.10195	-1.00000	0.02955	0.00730	-1.00000	0.04539	0.02749	-1.00000
1297	scaffold93	12979	0.19423	0.08936	-1.00000	0.01471	0.00066	-1.00000	0.07833	0.05380	-1.00000
1304	scaffold93	18211	0.01843	0.08922	-1.00000	-0.00457	0.00058	-1.00000	0.46962	0.05344	-1.00000
1305	scaffold93	18214	0.02686	0.08922	-1.00000	0.00943	0.00058	-1.00000	0.00554	0.05344	-1.00000
1315	scaffold93	21899	0.09179	0.08911	-1.00000	0.00615	0.00052	-1.00000	0.00816	0.05319	-1.00000
1319	scaffold93	26357	-0.00725	0.08898	-1.00000	-0.00029	0.00045	-1.00000	0.00000	0.05289	-1.00000
1335	scaffold93	38850	-0.01146	0.08861	-1.00000	-0.00328	0.00025	-1.00000	0.32290	0.05204	-1.00000
1341	scaffold93	45988	0.46717	0.08840	-1.00000	0.02062	0.00014	-1.00000	0.23401	0.05155	-1.00000
1344	scaffold93	47172	0.10517	0.08836	-1.00000	0.00569	0.00012	-1.00000	0.00532	0.05146	-1.00000
1350	scaffold93	51859	0.12522	0.08822	-1.00000	0.00937	0.00004	-1.00000	-nan	0.05114	-1.00000
1357	scaffold93	57615	0.01406	0.08804	-1.00000	0.00053	-0.00005	-1.00000	0.00000	0.05074	-1.00000
1361	scaffold93	67275	0.05093	0.08774	-1.00000	-0.00047	-0.00021	-1.00000	0.00239	0.05007	-1.00000
1365	scaffold93	69900	-0.00300	0.08766	-1.00000	-0.00022	-0.00025	-1.00000	-0.00031	0.04989	-1.00000
1376	scaffold93	83137	0.07412	0.08723	-1.00000	0.00389	-0.00047	-1.00000	0.01198	0.04896	-1.00000
1386	scaffold93	97998	0.00119	0.08674	-1.00000	-0.00004	-0.00072	-1.00000	0.00000	0.04792	-1.00000
